                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.046,                  1.403,                  1.418,                0.80555,                0.78641,                 0.8668,                0.58537,                 1.1521,                 1.7583,                 1.4089,                 0.0006,                 0.0006,                 0.0006
                      1,                 1.0326,                 1.3165,                 1.3554,                0.44585,                0.41262,                0.41794,                0.16617,                 1.8763,                 2.4751,                 2.0024,              0.0010992,              0.0010992,              0.0010992
                      2,                 1.0386,                 1.2131,                 1.3985,                 0.5263,                0.21845,                0.24962,                0.14073,                 3.0009,                 3.6303,                 3.0308,              0.0014757,              0.0014757,              0.0014757
                      3,                 1.0658,                 1.1238,                 1.4022,                0.60919,                0.76699,                0.68567,                0.32495,                 1.6162,                 1.9728,                 1.7916,               0.001406,               0.001406,               0.001406
                      4,                 1.0132,                 1.0151,                 1.3751,                0.79134,                0.79162,                0.81576,                0.53345,                 1.2757,                  1.359,                 1.5501,               0.001406,               0.001406,               0.001406
                      5,                 1.0313,                0.97796,                 1.3763,                0.83781,                0.81553,                0.85772,                 0.5772,                 1.1452,                 1.4045,                 1.4804,               0.001208,               0.001208,               0.001208
                      6,                0.95073,                0.86884,                 1.3028,                0.91811,                0.87083,                0.93545,                0.68893,                0.98385,                0.93787,                 1.2905,                0.00101,                0.00101,                0.00101
