                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3622,                 2.1968,                  1.603,                0.65647,                0.28155,                0.51481,                0.23903,                 1.4424,                 2.8819,                  1.922,                 0.0006,                 0.0006,                 0.0006
                      1,                  1.224,                 1.6305,                 1.4564,                0.63656,                0.66019,                0.62033,                0.26672,                  1.571,                 2.6854,                 1.9591,              0.0008174,              0.0008174,              0.0008174
                      2,                 1.1182,                 1.3771,                 1.3647,                0.80186,                0.76214,                0.81258,                0.53524,                 1.0228,                 1.8107,                 1.3902,              0.0006256,              0.0006256,              0.0006256
